country,year,tfr,subgroup,bloc,gdp_per_capita_usd,urban_pop_pct,flfp_pct,remittances_gdp_pct,female_tert_educ_pct,gdp_per_capita_usd_interp,urban_pop_pct_interp,flfp_pct_interp,remittances_gdp_pct_interp,female_tert_educ_pct_interp
Georgia,2015,2.21445,Caucasus,Rest of post-Soviet,4086.6223465965,57.3803800455672,58.678,9.5819813727681,56.2940888308295,False,False,False,False,False
Georgia,2016,2.22789,Caucasus,Rest of post-Soviet,4143.40125686315,57.6984032005062,58.551,9.84674425354464,61.2539265889238,False,False,False,False,False
Georgia,2017,2.13639,Caucasus,Rest of post-Soviet,4418.75206546679,57.9996827205757,58.382,10.890132380253,66.1567398119122,False,False,False,False,False
Georgia,2018,2.09321,Caucasus,Rest of post-Soviet,4804.0546040444,58.3038181862576,55.742,11.3631244569541,68.5508545862952,False,False,False,False,False
Georgia,2019,2.02114,Caucasus,Rest of post-Soviet,4741.2832715876,58.6304091780343,54.716,12.8028589642654,72.0135969397417,False,False,False,False,False
Georgia,2020,1.9759,Caucasus,Rest of post-Soviet,4300.85701291207,58.9990552763878,55.206,13.1764161481873,75.0586297121814,False,False,False,False,False
Georgia,2021,1.98,Caucasus,Rest of post-Soviet,5083.60695484577,59.4293560618005,53.055,14.0238156359641,81.26495658881,False,False,False,False,False
Georgia,2022,1.82,Caucasus,Rest of post-Soviet,6729.84659930283,60.0101622679115,55.755,15.4242760609985,84.6260373912433,False,False,False,False,False
Georgia,2023,1.81,Caucasus,Rest of post-Soviet,8283.66960652261,60.7523077799724,56.251,13.6504078223071,84.0958562940011,False,False,False,False,False
Kazakhstan,2000,1.89809,Central Asia,Central Asia,1180.0444563226,56.0239607657944,65.834,0.368863297858754,32.7738990783691,False,False,False,False,False
Kazakhstan,2001,1.905696,Central Asia,Central Asia,1422.27331810957,55.7813717131331,65.29,0.383878450645308,37.706917444864885,False,False,False,False,True
Kazakhstan,2002,1.95617,Central Asia,Central Asia,1573.55219932325,55.5045911261585,64.993,0.451556685268236,42.639935811360665,False,False,False,False,True
Kazakhstan,2003,2.075107,Central Asia,Central Asia,1958.02050246511,55.2115277236592,65.085,0.136856101332743,47.572954177856445,False,False,False,False,True
Kazakhstan,2004,2.201442,Central Asia,Central Asia,2722.47407755402,54.9200902244233,64.826,0.132966722215831,52.50597254435223,False,False,False,False,True
Kazakhstan,2005,2.274309,Central Asia,Central Asia,3577.35804001782,54.6481873472392,64.626,0.108574815738916,57.43899091084802,False,False,False,False,True
Kazakhstan,2006,2.38042,Central Asia,Central Asia,5030.13494711519,54.4137278108953,65.019,0.103192446831978,62.3720092773438,False,False,False,False,False
Kazakhstan,2007,2.49025,Central Asia,Central Asia,6449.43931096532,54.2346203341799,65.859,0.136377234008485,59.833039575152426,False,False,False,False,True
Kazakhstan,2008,2.616441,Central Asia,Central Asia,8123.54705891736,54.1287736358813,66.716,0.0941014656535349,57.294069872961046,False,False,False,False,True
Kazakhstan,2009,2.579726,Central Asia,Central Asia,6938.01175663001,54.1167144748885,66.47,0.171887472539219,54.75510017076967,False,False,False,False,True
Kazakhstan,2010,2.61,Central Asia,Central Asia,8793.07589980782,54.2054127497102,66.333,0.152354119782252,52.2161304685783,False,False,False,False,False
Kazakhstan,2011,2.605,Central Asia,Central Asia,11287.1464926039,54.3996086425518,66.207,0.0932936660895134,56.1058247885356,False,False,False,False,False
Kazakhstan,2012,2.64,Central Asia,Central Asia,12018.7966527993,54.69208192838,66.037,0.136051344243071,58.0417542618071,False,False,False,False,False
Kazakhstan,2013,2.67,Central Asia,Central Asia,13478.459627612,55.0779764821252,65.892,0.144275547930533,50.3136509780666,False,False,False,False,False
Kazakhstan,2014,2.76,Central Asia,Central Asia,12427.7094576939,55.5524361787178,65.71,0.181279445291607,56.2437528967015,False,False,False,False,False
Kazakhstan,2015,2.755,Central Asia,Central Asia,10196.1226255982,56.1106048930882,65.46,0.15959228908192,53.3817275538811,False,False,False,False,False
Kazakhstan,2016,2.795,Central Asia,Central Asia,7475.56688689424,56.7476265001667,65.205,0.27984417174788,49.9797136641103,False,False,False,False,False
Kazakhstan,2017,2.745,Central Asia,Central Asia,8943.08416791984,57.4586448748837,65.018,0.33597213131325,54.9374917142779,False,False,False,False,False
Kazakhstan,2018,2.845,Central Asia,Central Asia,9472.48527327758,58.2388038921695,64.818,0.344618856879696,56.8632416667494,False,False,False,False,False
Kazakhstan,2019,2.89,Central Asia,Central Asia,9457.12614657136,59.0832474269546,64.661,0.278573150811193,62.8662608612947,False,False,False,False,False
Kazakhstan,2020,3.13,Central Asia,Central Asia,8781.50797787648,59.9871193541692,63.607,0.218836862121885,67.9651341780338,False,False,False,False,False
Kazakhstan,2021,3.32,Central Asia,Central Asia,9983.60103576902,61.030254280267,64.068,0.157213071084416,65.0919364629015,False,False,False,False,False
Kazakhstan,2022,3.05,Central Asia,Central Asia,11255.3396437881,61.444157327248,64.743,0.213219830288597,63.15518036521,False,False,False,False,False
Kazakhstan,2023,3.012421,Central Asia,Central Asia,12879.4275257974,61.7560919499181,65.029,0.115996073438374,59.9310187694943,False,False,False,False,False
Kyrgyzstan,2000,2.576373,Central Asia,Central Asia,279.621738464365,35.3216067847574,57.886,0.163812064068962,32.5980682373047,False,False,False,False,False
Kyrgyzstan,2001,2.545637,Central Asia,Central Asia,308.41129550148,35.3160273737858,56.929,0.297284121287703,38.5882110595703,False,False,False,False,False
Kyrgyzstan,2002,2.565579,Central Asia,Central Asia,321.726775366804,35.3118703235333,57.114,1.88667073714928,43.333911895752,False,False,False,False,False
Kyrgyzstan,2003,2.595357,Central Asia,Central Asia,380.505828812441,35.3086519815317,55.843,3.66479861905155,41.3604202270508,False,False,False,False,False
Kyrgyzstan,2004,2.630736,Central Asia,Central Asia,433.233873286,35.3058886953128,54.64,8.09652452257376,40.9934387207031,False,False,False,False,False
Kyrgyzstan,2005,2.644842,Central Asia,Central Asia,476.548193640077,35.3030968124082,54.886,12.7324731237381,43.6173286437988,False,False,False,False,False
Kyrgyzstan,2006,2.743576,Central Asia,Central Asia,543.113512472219,35.2997926803498,54.428,16.6917334209106,45.0560913085938,False,False,False,False,False
Kyrgyzstan,2007,2.780943,Central Asia,Central Asia,721.771577544361,35.2954926466692,52.888,18.513914681679,45.5744094848633,False,False,False,False,False
Kyrgyzstan,2008,2.838361,Central Asia,Central Asia,966.388569370494,35.2897130588983,51.43,23.7992695009347,51.7609214782715,False,False,False,False,False
Kyrgyzstan,2009,2.954713,Central Asia,Central Asia,870.198894546917,35.2815523593591,51.098,20.9371247573683,49.5684509277344,False,False,False,False,False
Kyrgyzstan,2010,3.09639,Central Asia,Central Asia,876.954476440354,35.267768240398,51.445,26.4100938758912,47.7446087202185,False,False,False,False,False
Kyrgyzstan,2011,3.140412,Central Asia,Central Asia,1117.40174350185,35.2466507961984,52.124,27.5695150811653,46.8004070454196,False,False,False,False,False
Kyrgyzstan,2012,3.182737,Central Asia,Central Asia,1168.62244675446,35.218916221918,50.03,30.7544325527209,49.7378162653605,False,False,False,False,False
Kyrgyzstan,2013,3.149759,Central Asia,Central Asia,1269.66303464348,35.1850529225105,45.843,31.0564092290657,53.4510962860239,False,False,False,False,False
Kyrgyzstan,2014,3.209546,Central Asia,Central Asia,1264.52668823891,35.1455493029297,47.601,30.0320907271748,50.9556439528104,False,False,False,False,False
Kyrgyzstan,2015,3.208325,Central Asia,Central Asia,1105.65193844261,35.1008937681291,47.459,25.2718946040713,51.0750477664643,False,False,False,False,False
Kyrgyzstan,2016,3.104141,Central Asia,Central Asia,1103.27489428412,35.0515747230627,46.17,29.2760903334236,48.6948857002869,False,False,False,False,False
Kyrgyzstan,2017,3.043527,Central Asia,Central Asia,1221.39046807082,34.9980805726839,42.44,32.2705172692664,45.3427305911039,False,False,False,False,False
Kyrgyzstan,2018,3.28,Central Asia,Central Asia,1283.5203037417,34.9408997219466,44.016,32.5055687336898,44.7212161347249,False,False,False,False,False
Kyrgyzstan,2019,3.33,Central Asia,Central Asia,1421.99927504102,34.8805205758044,44.04,28.7859049850987,46.022590263451,False,False,False,False,False
Kyrgyzstan,2020,3.05,Central Asia,Central Asia,1229.51766602907,34.8174315392111,43.877,31.8069826721848,50.10201538797,False,False,False,False,False
Kyrgyzstan,2021,2.89,Central Asia,Central Asia,1349.99730650542,34.7521210171204,43.997,32.5635356064056,56.1375383402996,False,False,False,False,False
Kyrgyzstan,2022,2.81,Central Asia,Central Asia,1739.72018344174,34.7003053497743,45.238,26.5775606386275,57.3295174557447,False,False,False,False,False
Kyrgyzstan,2023,2.8,Central Asia,Central Asia,2138.22210211478,34.706439175362,43.495,26.5775606386275,58.4761976216379,False,False,False,True,False
Latvia,2000,1.244485,Baltic,Rest of post-Soviet,3278.17896440803,68.0520561441955,48.977,3.24916548495243,79.8180618286133,False,False,False,False,True
Latvia,2001,1.222852,Baltic,Rest of post-Soviet,3504.61829462397,68.0163660524785,49.936,3.34142859855123,79.8180618286133,False,False,False,False,False
Latvia,2002,1.257519,Baltic,Rest of post-Soviet,4003.60935783538,67.9813450702046,51.07,1.21699024462232,84.9314193725586,False,False,False,False,False
Latvia,2003,1.32183,Baltic,Rest of post-Soviet,4914.57992829302,67.9493840506358,50.516,1.4007321575177,89.2535400390625,False,False,False,False,False
Latvia,2004,1.296752,Baltic,Rest of post-Soviet,6109.73265186817,67.9206702831277,50.405,1.58071221596804,94.5926971435547,False,False,False,False,False
Latvia,2005,1.389376,Baltic,Rest of post-Soviet,7283.78738127622,67.8953910570353,50.386,2.32449363884608,97.2924270629883,False,False,False,False,False
Latvia,2006,1.463824,Baltic,Rest of post-Soviet,9211.7374468148,67.873733661714,51.945,2.34955653000909,96.5535736083984,False,False,False,False,False
Latvia,2007,1.542382,Baltic,Rest of post-Soviet,13370.9789452508,67.8558853865191,52.909,1.87110120062372,95.5410079956055,False,False,False,False,False
Latvia,2008,1.585392,Baltic,Rest of post-Soviet,15677.6080864506,67.8420335208058,54.841,5.62594953465104,95.6201934814453,False,False,False,False,False
Latvia,2009,1.471832,Baltic,Rest of post-Soviet,11996.0322729773,67.8323653539295,54.357,6.17581400071879,95.3236999511719,False,False,False,False,False
Latvia,2010,1.367074,Baltic,Rest of post-Soviet,11188.4191700977,67.8270681752453,53.73,5.35771550553895,88.4324493408203,False,False,False,False,False
Latvia,2011,1.342888,Baltic,Rest of post-Soviet,12902.574053337,67.8266897008267,52.909,5.66570960282216,84.8251419067383,False,False,False,False,False
